text_id,discipline_cat,Academic,Character,Citation,ConfidenceHedged,ConfidenceHigh,ConfidenceLow,Contingent,Description,Facilitate,Forceful,FirstPerson,Future,Information,Inquiry,Interactive,Metadiscourse,Narrative,Negative,Positive,Public,Reasoning,Strategic,SyntacticComplexity,Uncertainty,Updates
BIO.G0.01.1.txt,BIO,6.28,2.22,1.73,0.78,0.31,0.02,0.42,7.69,0.1,1.83,0,0.16,10.98,0.24,0.29,0.13,5.5,5.42,1.26,0.49,1.33,0.68,12.94,0.1,0.49
BIO.G0.02.1.txt,BIO,8.31,5.5,3.31,1.05,0.53,0.03,0.47,4.19,0.32,1.29,0.06,0.23,8.9,0.91,0.47,0.64,4.39,1.76,1.96,0.73,1.61,0.67,10.71,0.18,0.53
BIO.G0.02.2.txt,BIO,10.75,3.36,1.34,1.34,0.34,0,0.67,4.82,0.34,1.34,0,0.56,11.98,0.9,1.57,0.45,4.59,1.79,3.25,0.56,1.57,0.67,11.65,0,0
BIO.G0.02.3.txt,BIO,10.65,2.89,1.37,1.67,0,0,0,4.57,0.15,1.52,0,0.15,12.33,2.13,0.15,0.15,5.48,1.37,2.28,0.3,3.2,1.22,13.39,0.15,0
BIO.G0.02.4.txt,BIO,13.88,1.21,0.54,1.89,0.13,0.13,0.54,2.16,0.13,2.83,0,0.13,11.46,0.67,0.54,0.13,6.47,3.23,2.02,0.27,4.99,0.94,9.84,0.27,1.08
BIO.G0.02.5.txt,BIO,8.53,2.62,4.87,0.75,0.21,0.05,0.18,2.9,0.1,1.35,0.05,0.31,9.36,0.36,0.39,0.36,4.33,1.61,1.27,0.16,2.77,0.6,10.47,0.05,0.44
BIO.G0.02.6.txt,BIO,10.17,2.95,0.16,0.28,0.32,0,0.36,8.72,0.24,1.21,0.12,0.36,7.59,0.97,0.73,0.4,6.42,2.18,0.89,0.08,1.33,0.85,12.71,0.73,0
BIO.G0.03.1.txt,BIO,9.13,1.14,0.49,0.98,0.24,0,0.73,6.6,0.49,1.63,0.16,0.41,10.11,0.9,0.16,0.41,3.42,1.14,3.02,0.33,1.87,4.32,14.1,0.08,0.08
BIO.G0.03.2.txt,BIO,8.5,1.42,0.98,0.67,0.28,0,0.35,9.09,0.12,1.57,0.87,0.35,10.42,0.9,0.2,0.12,5.11,4.25,1.02,0.31,2.64,0.98,12.35,0,0.08
BIO.G0.03.3.txt,BIO,11.41,0.71,0.53,0.71,0.62,0,0.45,2.94,0.53,2.32,0.36,0.62,8.11,3.65,0.98,0.53,5.17,1.43,1.52,0.89,2.41,1.34,15.15,0.09,0
BIO.G0.04.1.txt,BIO,13.32,1.87,0.2,1.27,0.4,0,0.2,5.82,0.13,1.27,0.07,0.2,9.77,0.47,0.33,0.13,6.43,2.48,1.61,0.33,2.28,1.34,11.98,0.2,0.27
BIO.G0.04.2.txt,BIO,12.88,3.07,0.1,0.24,0.1,0,0.34,8.64,0.07,0.85,0.38,0.65,9.39,0.58,0.14,0.17,3.38,2.8,0.65,0.1,1.84,0.48,13.63,0.31,0.31
